reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,text.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,Age,date,expName,expVersion,psychopyVersion,frameRate,expStart,
40,55,62,54,5,7,t,0.9124705999856815,None,7,5,54,3,122.66294060001383,,122.65425969997887,122.66294060001383,123.66264420002699,123.66264420002699,123.66264420002699,124.58010560000548,t,0.9124705999856815,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
49,60,89,55,6,7,t,4.450789000024088,None,7,6,55,4,124.596166000003,,124.58721969998442,124.596166000003,125.59582320001209,125.59582320001209,125.59582320001209,130.0630318999756,t,4.450789000024088,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
15,35,13,56,0,8,l,0.8743130000075325,None,8,0,56,1,130.07868710003095,,130.06930510001257,130.07868710003095,131.06221870001173,131.06221870001173,131.07880100002512,131.94626649998827,l,0.8743130000075325,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
40,55,62,57,1,8,t,1.1160594999673776,None,8,1,57,3,131.96216679998906,,131.9526854000287,131.96216679998906,132.94605570001295,132.94605570001295,132.96263490000274,134.06309419998433,t,1.1160594999673776,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
67,75,119,58,2,8,t,2.0304112000158057,None,8,2,58,5,134.07876780000515,,134.07042320002802,134.07876780000515,135.06254150002496,135.06254150002496,135.07890199997928,137.09578859998146,t,2.0304112000158057,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
78,80,162,59,3,8,t,0.7001357999979518,None,8,3,59,6,137.11216219997732,,137.1008383000153,137.11216219997732,138.09527039999375,138.09527039999375,138.11184929998126,138.81279380002525,t,0.7001357999979518,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
11,30,7,60,4,8,l,1.4878524000523612,None,8,4,60,0,138.82851379999192,,138.8201868000324,138.82851379999192,139.81211980001535,139.81211980001535,139.82847070001299,141.31245720002335,l,1.4878524000523612,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
49,60,89,61,5,8,t,0.790526399970986,None,8,5,61,4,141.32853780000005,,141.317036500026,141.32853780000005,142.31200600002194,142.31200600002194,142.32884159998503,143.11318829999072,t,0.790526399970986,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
27,50,21,62,6,8,l,0.7358138000126928,None,8,6,62,2,143.12889190000715,,143.12102329998743,143.12889190000715,144.12867350003216,144.12867350003216,144.12867350003216,144.87880890001543,l,0.7358138000126928,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
49,60,89,63,0,9,t,0.617167399963364,None,9,0,63,4,144.8951977000106,,144.88381829997525,144.8951977000106,145.87865800003055,145.87865800003055,145.89577760000248,146.51294169999892,t,0.617167399963364,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
